page,productId,saleMode,discount,storeUrl,storeName,storeId,title,tradeDesc,saleUnit,logisticsDesc,productDetailUrl,displayCategoryId,price,imageUrl,starRating,productType
1,10000178622287,single-piece_sale,,//aliexpress.ru/store/5700054,ZipDom Store,5700054,"Ремкомплект для двери посудомоечной машины BOSCH, SIEMENS, NEFF (2 пружины + 2 троса), код 754866, 659339, 623540",5 продано,pair,,"//aliexpress.ru/item/10000178622287.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-0&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,1 240 руб.,//ae01.alicdn.com/kf/Ud336db3d996a4cccbd9119d8e79bfaf97/Repair-kit-for-dishwasher-door-BOSCH-SIEMENS-NEFF-2-springs-2-cables-code-754866-659339-623540.jpg_220x220xz.jpg,5.0,ordinary_product
1,4001338193142,single-piece_sale,20,//aliexpress.ru/store/5105060,Ur Appliances Store,5105060,Мини USB посудомоечная машина ленивый портативный кухонный серфинг посудомоечная машина семья инструменты кухня,1 продано,piece,Бесплатная доставка,"//aliexpress.ru/item/4001338193142.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-1&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"1 320,84 - 1 361,34 руб.",//ae01.alicdn.com/kf/H77646f8202254eca8674c305945efc89x/Mini-USB-Dishwasher-Lazy-Portable-Kitchen-Surf-Dishwasher-Family-Tools-Kitchen.jpg_220x220xz.jpg,,ordinary_product
1,4000239576831,single-piece_sale,50,//aliexpress.ru/store/3118026,Trendy Glasses Store,3118026,"Ручная электрическая посудомоечная машина, мини-посуда, стиральная машина, кухонная чаша, чистящий посудомоечный пылесос, сменная щетка",31 продано,piece,,"//aliexpress.ru/item/4000239576831.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-2&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"435,35 - 933 руб.",//ae01.alicdn.com/kf/Hb8cb16033b2c43599efed2589af7782du/Handheld-Electric-Dishwasher-Mini-Dishes-Washing-Machine-Kitchen-Bowl-Cleaning-dishwashing-Bath-Cleaner-Replaceable-Brush.jpg_220x220xz.jpg,5.0,ordinary_product
1,10000205322628,single-piece_sale,31,//aliexpress.ru/store/5780302,Midea-Russ Store,5780302,"Посудомоечная машина Midea MCFD-0606, 6 комплектов и 6 программ",628 продано,piece,Бесплатная доставка,"//aliexpress.ru/item/10000205322628.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-3&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"16 747,29 руб.",//ae01.alicdn.com/kf/H1046268907cd4e3686c1d4b1302f9095d/Dishwasher-for-home-and-kitchen-Major-Appliance-for-washing-tableware-mini-compact-table-Midea-MCFD-0606.png_220x220xz.png,4.7,ordinary_product
1,1005001355340683,single-piece_sale,,//aliexpress.ru/store/910353029,Shop910353029 Store,910353029,Бытовая Автоматическая Посудомоечная машина настольная 6 кистей костюм чаша машина Двойная сушка маленькая посудомоечная машина,2 продано,piece,,"//aliexpress.ru/item/1005001355340683.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-4&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"6 852,61 руб.",//ae01.alicdn.com/kf/H0ed8a0ce53aa46f2a06fc9c7ec7d3e87b/Household-Automatic-Dishwasher-Desktop-6-Brush-Suit-Bowl-Machine-Double-Drying-Small-Dishwasher.jpg_220x220xz.jpg,,ordinary_product
1,1005001320046581,single-piece_sale,19,//aliexpress.ru/store/344208,TookFun Appliance Store,344208,"XIAOMI MIJIA Посудомоечная машина для дома и кухни, набор приборов, мини столешница, Настольная посудомоечная машина, ультразвуковой очиститель, ...",5 продано,piece,Бесплатная доставка,"//aliexpress.ru/item/1005001320046581.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-5&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"17 842,95 руб.",//ae01.alicdn.com/kf/Hd2557b993cae49d987b3baa75f3fcf58G/XIAOMI-MIJIA-Dishwasher-for-home-and-Kitchen-Appliances-set-Mini-Countertop-Table-Dish-Washers-ultrasonic-cleaner.jpg_220x220xz.jpg,,ordinary_product
1,4000960719515,single-piece_sale,25,//aliexpress.ru/store/5568085,Private housekeeper Store,5568085,"Мини-USB портативная посудомоечная машина Lazy, кухонные принадлежности для серфинга и посудомоечной машины, инструменты для чистки кухни, акс...",2 продано,piece,,"//aliexpress.ru/item/4000960719515.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-6&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"1 119,13 - 2 354,30 руб.",//ae01.alicdn.com/kf/H674743b6a8f74479927250813479d9c1k/Mini-USB-Dishwasher-Lazy-Portable-Kitchen-Surf-Dishwasher-Family-Tools-Kitchen-Cleaning-Tool-Accessories.jpg_220x220xz.jpg,,ordinary_product
1,32989366123,single-piece_sale,20,//aliexpress.ru/store/4637201,Zigmund&Shtain Official Store,4637201,Посудомоечная машина Zigmund & Shtain DW139.4505X,173 продано,piece,Бесплатная доставка,"//aliexpress.ru/item/32989366123.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-7&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,26 790 руб.,//ae01.alicdn.com/kf/U1a9fa7e48fa843d0b69555f3ad8a2cc0R/Dish-Washers-Zigmund-Shtain-DW-139-4505-X-Home-Appliances-Major-Appliances-dishwasher-посудомоечная-машина-машины.jpg_220x220xz.jpg,4.9,ordinary_product
1,4000498630062,single-piece_sale,,//aliexpress.ru/store/2955187,FTF Store,2955187,Новая электрическая посудомоечная машина Мини Посуда стиральная машина кухонная чаша чистящий посудомоечный очиститель для ванны сменная...,7 продано,piece,,"//aliexpress.ru/item/4000498630062.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-8&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"435,35 руб.",//ae01.alicdn.com/kf/Had76e8c8759c457b86457b2342a31e79k/New-Electric-Dishwasher-Mini-Dishes-Washing-Machine-Kitchen-Bowl-Cleaning-dishwashing-Bath-Cleaner-Replaceable-Brush.jpg_220x220xz.jpg,,ordinary_product
1,4001173822912,single-piece_sale,43,//aliexpress.ru/store/5526020,LILi life Store,5526020,"Ультразвуковая посудомоечная машина, интеллектуальная стерилизация, бытовая электрическая посудомоечная машина, портативная столешница, ...",2 продано,piece,,"//aliexpress.ru/item/4001173822912.html?algo_pvid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276&algo_expid=8cfb6ffa-eb15-4abe-9849-cc077b0c7276-9&btsid=0b86d81916002711739413458e5451&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",202000082,"1 332,52 руб.",//ae01.alicdn.com/kf/H8229b4b794cb41b7940e25862cdb07caa/Ultrasonic-Dishwasher-Intelligent-Sterilization-Household-Electric-Dishwasher-Portable-Countertop-Dishwashers.jpg_220x220xz.jpg,,ordinary_product
